Rate,Stress
0.01,0.93
0.02,1.86
0.03,1.86
0.04,2.33
0.05,2.33
0.06,2.33
0.07,2.33
0.08,2.33
0.09,2.33
0.19,2.79
0.28,3.72
0.37,4.65
0.47,5.12
0.56,6.51
0.65,16.74
0.74,13.95
0.84,13.49
0.93,11.16
1.02,8.84
1.12,8.84
1.21,5.58
1.3,5.58
1.4,6.98
1.49,7.91
1.58,9.3
1.67,18.14
1.77,12.09
1.86,7.91
1.95,8.37
2.05,9.3
2.14,10.23
2.33,13.95
2.33,9.3
2.42,9.3
2.51,9.77
2.6,10.23
2.7,10.23
2.79,10.23
3.72,11.63
4.65,13.02
5.58,13.02
6.51,14.42
8.37,16.74
9.3,17.67
18.6,27.9
27.9,36.74
37.2,44.18
46.5,50.69
55.8,56.27
65.1,61.85
74.4,66.5
83.7,70.68
93,74.87
102.3,78.59
111.6,81.84
120.9,86.03
130.2,89.28
139.5,92.54
148.8,95.33
158.1,95.58
167.4,101.37
176.7,104.16
186,106.49
